,"Sat 4/26","Sun 4/27","Mon 4/28","Tue 4/29","Wed 4/30","Thu 5/1","Fri 5/2"
PHI,"J. Luzardo (L)","A. Nola (R)","OFF DAY","Z. Wheeler (R)","C. Sanchez (L)","T. Walker (R)","J. Luzardo (L)"
game,"Sat 4:05pm @ CHC","Sun 7:10pm @ CHC",,"Tue 6:45pm vs WSH","Wed 6:45pm vs WSH","Thu 6:45pm vs WSH","Fri 6:45pm vs ARI"
stats,"2-0 2.08 ERA","0-5 6.43 ERA",,"2-1 3.62 ERA","2-1 3.42 ERA","1-2 2.78 ERA","2-0 2.08 ERA"
oppBat,".267 1.4 HR 8.4 K",".267 1.4 HR 8.4 K",,".238 1.0 HR 7.3 K",".238 1.0 HR 7.3 K",".238 1.0 HR 7.3 K",".245 1.3 HR 7.4 K"
oppPitch,"B. Brown R","J. Taillon R",,"M. Gore L","J. Irvin R","B. Lord R","M. Kelly R"

PIT,"M. Keller (R)","B. Falter (L)","OFF DAY","A. Heaney (L)","C. Mlodzinski (R)","P. Skenes (R)","M. Keller (R)"
game,"Sat 9:10pm @ LAD","Sun 4:10pm @ LAD",,"Tue 6:40pm vs CHC","Wed 6:40pm vs CHC","Thu 12:35pm vs CHC","Fri 6:40pm vs SD"
stats,"1-2 4.18 ERA","1-2 5.19 ERA",,"2-1 1.72 ERA","1-3 6.95 ERA","3-2 2.39 ERA","1-2 4.18 ERA"
oppBat,".230 1.6 HR 8.5 K",".230 1.6 HR 8.5 K",,".267 1.4 HR 8.4 K",".267 1.4 HR 8.4 K",".267 1.4 HR 8.4 K",".260 0.9 HR 6.8 K"
oppPitch,"R. Sasaki R","T. Glasnow R",,"S. Imanaga L","M. Boyd L","C. Rea R","D. Cease R"

SD,"D. Cease (R)","R. Vasquez (R)","OFF DAY","N. Pivetta (R)","M. King (R)","OFF DAY","D. Cease (R)"
game,"Sat 8:40pm vs TB","Sun 4:10pm vs TB",,"Tue 9:40pm vs SF","Wed 4:10pm vs SF",,"Fri 6:40pm @ PIT"
stats,"1-1 6.04 ERA","1-2 3.97 ERA",,"4-1 1.20 ERA","3-1 2.18 ERA",,"1-1 6.04 ERA"
oppBat,".252 0.9 HR 8.6 K",".252 0.9 HR 8.6 K",,".227 1.0 HR 8.9 K",".227 1.0 HR 8.9 K",,".222 0.7 HR 8.8 K"
oppPitch,"R. Pepiot R","Z. Littell R",,"L. Webb R","L. Roupp R",,"M. Keller R"

SEA,"L. Castillo (R)","B. Miller (R)","OFF DAY","E. Hancock (R)","B. Woo (R)","OFF DAY","L. Gilbert (R)"
game,"Sat 9:40pm vs MIA","Sun 4:10pm vs MIA",,"Tue 9:40pm vs LAA","Wed 4:10pm vs LAA",,"Fri 8:05pm @ TEX"
stats,"2-2 4.44 ERA","1-3 4.21 ERA",,"1-1 7.71 ERA","3-1 3.09 ERA",,"1-1 2.37 ERA"
oppBat,".260 0.8 HR 9.2 K",".260 0.8 HR 9.2 K",,".217 1.5 HR 9.5 K",".217 1.5 HR 9.5 K",,".222 1.2 HR 7.8 K"
oppPitch,"C. Gillispie R","M. Meyer R",,"J. Kochanowicz R","T. Anderson L",,"J. Leiter R"

SF,"R. Ray (L)","J. Hicks (R)","OFF DAY","L. Webb (R)","L. Roupp (R)","J. Verlander (R)","R. Ray (L)"
game,"Sat 4:05pm vs TEX","Sun 4:05pm vs TEX",,"Tue 9:40pm @ SD","Wed 4:10pm @ SD","Thu 9:45pm vs COL","Fri 10:15pm vs COL"
stats,"3-0 4.07 ERA","1-3 6.59 ERA",,"3-1 1.98 ERA","2-1 4.56 ERA","0-2 4.99 ERA","3-0 4.07 ERA"
oppBat,".222 1.2 HR 7.8 K",".222 1.2 HR 7.8 K",,".260 0.9 HR 6.8 K",".260 0.9 HR 6.8 K",".216 0.8 HR 10.6 K",".216 0.8 HR 10.6 K"
oppPitch,"T. Mahle R","J. Leiter R",,"N. Pivetta R","M. King R","K. Freeland L","A. Senzatela R"

STL,"S. Gray (R)","E. Fedde (R)","A. Pallante (R)","M. Mikolas (R)","S. Matz (L)","M. Liberatore (L)","S. Gray (R)"
game,"Sat 2:15pm vs MIL","Sun 2:15pm vs MIL","Mon 6:40pm @ CIN","Tue 6:40pm @ CIN","Wed 6:40pm @ CIN","Thu 12:40pm @ CIN","Fri 8:15pm vs NYM"
stats,"3-0 3.41 ERA","1-2 3.33 ERA","2-1 4.05 ERA","0-2 5.70 ERA","2-0 1.86 ERA","2-2 3.19 ERA","3-0 3.41 ERA"
oppBat,".246 0.9 HR 7.9 K",".246 0.9 HR 7.9 K",".245 1.1 HR 8.8 K",".245 1.1 HR 8.8 K",".245 1.1 HR 8.8 K",".245 1.1 HR 8.8 K",".234 0.9 HR 7.5 K"
oppPitch,"Q. Priester R","J. Quintana L","N. Martinez R","B. Singer R","A. Abbott L","H. Greene R","T. Megill R"

TB,"R. Pepiot (R)","Z. Littell (R)","OFF DAY","T. Bradley (R)","D. Rasmussen (R)","S. Baz (R)","R. Pepiot (R)"
game,"Sat 8:40pm @ SD","Sun 4:10pm @ SD",,"Tue 7:05pm vs KC","Wed 7:05pm vs KC","Thu 1:10pm vs KC","Fri 7:05pm @ NYY"
stats,"1-3 4.82 ERA","0-5 5.28 ERA",,"2-1 5.08 ERA","1-1 2.10 ERA","3-0 2.45 ERA","1-3 4.82 ERA"
oppBat,".260 0.9 HR 6.8 K",".260 0.9 HR 6.8 K",,".224 0.4 HR 7.4 K",".224 0.4 HR 7.4 K",".224 0.4 HR 7.4 K",".259 1.6 HR 9.5 K"
oppPitch,"D. Cease R","R. Vasquez R",,"C. Ragans L","M. Lorenzen R","S. Lugo R","M. Fried L"

TEX,"T. Mahle (R)","J. Leiter (R)","P. Corbin (L)","J. deGrom (R)","N. Eovaldi (R)","T. Mahle (R)","J. Leiter (R)"
game,"Sat 4:05pm @ SF","Sun 4:05pm @ SF","Mon 8:05pm vs ATH","Tue 8:05pm vs ATH","Wed 8:05pm vs ATH","Thu 2:35pm vs ATH","Fri 8:05pm vs SEA"
stats,"3-0 0.68 ERA","2-0 0.90 ERA","2-0 3.77 ERA","0-1 3.33 ERA","2-2 2.21 ERA","3-0 0.68 ERA","2-0 0.90 ERA"
oppBat,".227 1.0 HR 8.9 K",".227 1.0 HR 8.9 K",".256 1.4 HR 7.3 K",".256 1.4 HR 7.3 K",".256 1.4 HR 7.3 K",".256 1.4 HR 7.3 K",".228 1.4 HR 9.2 K"
oppPitch,"R. Ray L","J. Hicks R","J. Sears L","H. Harris L","L. Severino R","J. Springs L","L. Gilbert R"

TOR,POSTPONED,"K. Gausman (R)","OFF DAY","B. Francis (R)","J. Berrios (R)","P. Schultz (R)","K. Gausman (R)"
game,"Sat 1:05pm @ NYY","Sun 1:35pm @ NYY",,"Tue 7:07pm vs BOS","Wed 7:07pm vs BOS","Thu 7:07pm vs BOS","Fri 7:07pm vs CLE"
stats,,"2-2 3.16 ERA",,"2-3 3.58 ERA","1-1 4.24 ERA","0-0 0.00 ERA","2-2 3.16 ERA"
oppBat,,".259 1.6 HR 9.5 K",,".244 1.0 HR 9.5 K",".244 1.0 HR 9.5 K",".244 1.0 HR 9.5 K",".235 1.2 HR 7.8 K"
oppPitch,,"M. Fried L",,"G. Crochet L","L. Giolito R","T. Houck R","L. Allen L"
TOR,---,"C. Bassitt (R)",---,---,---,---,---
game,,"Sun 5:05pm @ NYY",,,,,
stats,,"2-1 1.88 ERA",,,,,
oppBat,,".259 1.6 HR 9.5 K",,,,,
oppPitch,,"C. Schmidt R",,,,,

WSH,"B. Lord (R)","M. Parker (L)","T. Williams (R)","M. Gore (L)","J. Irvin (R)","B. Lord (R)","M. Soroka (R)"
game,"Sat 4:05pm vs NYM","Sun 1:35pm vs NYM","Mon 4:05pm vs NYM","Tue 6:45pm @ PHI","Wed 6:45pm @ PHI","Thu 6:45pm @ PHI","Fri 6:10pm @ CIN"
stats,"0-2 4.73 ERA","3-1 1.39 ERA","1-2 5.11 ERA","2-3 3.34 ERA","2-0 3.19 ERA","0-2 4.73 ERA","0-1 7.20 ERA"
oppBat,".234 0.9 HR 7.5 K",".234 0.9 HR 7.5 K",".234 0.9 HR 7.5 K",".248 0.8 HR 8.4 K",".248 0.8 HR 8.4 K",".248 0.8 HR 8.4 K",".245 1.1 HR 8.8 K"
oppPitch,"C. Holmes R","T. Megill R","G. Canning R","Z. Wheeler R","C. Sanchez L","T. Walker R","N. Lodolo L"

